artist,alphaname,artist_id
Toufic Farroukh,"Farroukh, Toufic",1qEcIbzDD8hnKqIuFA0Uag
Fleetwood Mac,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X
The Flock,"Flock, The",5ovNaBZ14L7pnXgts2aonH
Focus,Focus,0ifzzRKdmtgaHy9cfnnyCR
Free,Free,2e53aHBQdCMKWqHDuyJsjC
Bill Frisell,"Frisell, Bill",3SONlwqLIP2GtaMh9pLYe5
Jerry Garcia,"Garcia, Jerry",3QDaXfnxfQqqJQK5lSdjLN
Renaud Garcia-Fons,"Garcia-Fons, Renaud",2beRN3D0I38WBoTqrUTgjZ
Genesis,Genesis,3CkvROUTQ6nRi9yQOcsB50
Philip Glass,"Glass, Philip",69lxxQvsfAIoQbB20bEPFC
Gong,Gong,47yvARr7dCOKqvjDVwfbf3
Grateful Dead,Grateful Dead,4TMHGUX5WI7OOm53PqSDAT
Ivan Graziani,"Graziani, Ivan",6UBVuFUOlakH7cwOKHleHJ
Peter Green,"Green, Peter",3y1DgnVXqckGJrbwOKchdU
Greta Van Fleet,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl
Arlo Guthrie,"Guthrie, Arlo",0B6QEFtRnneEzb4iqjI0Nw
Herbie Hancock,"Hancock, Herbie",2ZvrvbQNrHKwjT7qfGFFUW
George Harrison,"Harrison, George",7FIoB5PHdrMZVC3q2HE5MS
PJ Harvey,"Harvey, PJ",12VaqyEhgwDRuFfEqbnrpz
Hatfield & The North,Hatfield & The North,3nYGhK3zYoTm2Yz1KduuUM
Jimi Hendrix,"Hendrix, Jimi",776Uo845nYHJpNaStv1Ds4
John Hiatt,"Hiatt, John",4Sld5LOPbAm1QSq9U32fFV
Nicky Hopkins,"Hopkins, Nicky",4oFSDUi4VgAWAn7t5RNaan
Howlin' Wolf,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR
Iron Butterfly,Iron Butterfly,3cdvlbCYf4WoBdy89RWkNS
Mick Jagger,"Jagger, Mick",3d2pb1dHTm8b61zAGVUVvO
Jethro Tull,Jethro Tull,6w6z8m4WXX7Tub4Rb6Lu7R
The Rolling Stones,"Rolling Stones, The",22bE4uQ6baNwSHPVcDxLCe
Victor Jara,"Jara, Victor",440MEFxEmF9othCXbz3Y6a
Jean-Michel Jarre,"Jarre, Jean-Michel",5MhLmv7GgyjbxGqiIGasvT
Jasper van't Hofs Pili Pili,Jasper van't Hofs Pili Pili,5SzgUF6HG0rix7dOgVzAFF
Jefferson Airplane,Jefferson Airplane,2qFr8w5sWUITRlzZ9kZotF
Jerry Garcia Band,Jerry Garcia Band,1YTe4dNIoWX3iHX8H4xVeM
John Paul Jones,"Jones, John Paul",6RhcZuUOb20IZvR8BbdnJX
Judas Priest,Judas Priest,2tRsMl4eGxwoNabM08Dm4I
Julian's Treatment,Julian's Treatment,41aCbP0ch41YFQZ1QJxpz1
Kaleidoscope,Kaleidoscope,16gYwSgslBoQ1b6wfxoHOF
Salif Keita,"Keita, Salif",0VVnWF3KNaa5O7ESohKhAx
Bobby Keys,"Keys, Bobby",7qVyqDRBf4kYfqGG4PyRc5
King Crimson,King Crimson,7M1FPw29m5FbicYzS2xdpi
B.B. King,"King, B.B.",5xLSa7l4IV1gsQfhAMvl0U
The Kinks,"Kinks, The",1SQRv42e4PjEYfPhS0Tk9E
Rahsaan Roland Kirk,"Kirk, Rahsaan Roland",7De2eIqeHTw091YeAkkYXV
Leo Kottke,"Kottke, Leo",6cjuHeJM6CHRUhIhApwFwx
Kraan,Kraan,1yTEkYjWeeo4ANkbvUTiFG
Joachim Kühn,"Kühn, Joachim",63ZJSdxmTX5wWRMoS1C5ph
Yusef Lateef,"Lateef, Yusef",33XkS6h90eeK7e6OJHw0mq
Led Zeppelin,Led Zeppelin,36QJpDe2go2KgaRleHCDTp
John Lennon,"Lennon, John",4x1nvY2FN8jxqAFA0DA02H
Little Feat,Little Feat,0ZIwOAzDuGPspzK7yiTc4S
35007,Loose,09kNJ3LqHcfQZO5qixfmft
Love,Love,3Q6OOkfssqoMSTtl11J5Uk
Magic Shoppe,Magic Shoppe,3Q6OOkfssqoMSTtl11J5Uk
Magma,Magma,5JeJHWfm2ZxNd09hrIf7Zb
Mahavishnu Orchestra,Mahavishnu Orchestra,3Ao7NH7lRyQAeKQg2mlTcO
Herbie Mann,"Mann, Herbie",6ycoXr0Ayd89vFUT6BOiWo
John Mayall,"Mayall, John",5s4z3mRAE7nxE3jjft8J3h
Paul McCartney,"McCartney, Paul",4STHEaNw4mPZ2tzheohgXB
John McLaughlin,"McLaughlin, John",4v0R1feRiuCDch7aAheVhY
Brad Mehldau,"Mehldau, Brad",2vI9KFm0fwSfPrpEgOeIbq
Al Di Meola,"Meola Di, Al",3bBWKHfpepPOychRNFzg4q
Thelonious Monk,"Monk, Thelonious",4PDpGtF16XpqvXxsrFwQnN
Lee Morgan,"Morgan, Lee",38C3okxv3fyyOIQUVPCdGX
Ennio Morricone,"Morricone, Ennio",1nIUhcKHnK6iyumRyoV68C
Jim Morrison,"Morrison, Jim",1QB4oo4JbSRdxNyidIuD0W
Van Morrison,"Morrison, Van",44NX2ffIYHr6D4n7RaZF7A
The Mothers Of Invention,"Mothers Of Invention, The",3P2gYnypDVi90ZavnaAhfL
Museo Rosenbach,Museo Rosenbach,4RWamjGtVScGN2kfuoOm7V
Gianna Nannini,"Nannini, Gianna",0h0p7RkMjCUMdcf0nXmHjX
Napoli Centrale,Napoli Centrale,4kNBFzbIZQn9Id0P9RWc5t
Natural Child,Natural Child,7epIIT85VR8OEggqKO3RSt
New Trolls,New Trolls,5RN8L3RHQZ87m7gNWUyFmu
Janko Nilovic,"Nilovic, Janko",44w54ag6mZjclpEET3ROf9
Le Orme,"Orme, Le",45Utoxop3UFq0Qg9YFLhx0
Ozric Tentacles,Ozric Tentacles,0Iv00ucAIqr5KVS7bXGFa9
P.F.M.,P.F.M.,69JBLod15WPsmZioUkwA4r
Premiata Forneria Marconi,Premiata Forneria Marconi,1MD5pgVzlusqGyuSTcTxvu
Jimmy Page,"Page, Jimmy",55bGuHb50r5c0PeqqMeNBV
The Paul Butterfield Blues Band,"Paul Butterfield Blues Band, The",6kz7WuPaUa4QVreP27I33i
Pearl Jam,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56
Tom Petty,"Petty, Tom",2UZMlIwnkgAEDBsw1Rejkn
Pink Floyd,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9
The Police,"Police, The",5NGO30tJxFlKixkPSgXcFE
Jean-Luc Ponty,"Ponty, Jean-Luc",3SInttLnvf5G4Aa95aAYPr
The Pretty Things,"Pretty Things, The",5U16QlMnlSAhkQxBZpLyLO
Psychic Ills,Psychic Ills,0BdrIHWUDg179f9H7pjJMC
Quicksilver Messenger Service,Quicksilver Messenger Service,7DCnwoFMqGN6eZULdcLZeL
Maurice Ravel,"Ravel, Maurice",17hR0sYHpx7VYTMRfFUOmY
Steve Reich,"Reich, Steve",1aVONoJ0EM97BB26etc1vo
Keith Richards,"Richards, Keith",08avsqaGIlK2x3i2Cu7rKH
Terry Riley,"Riley, Terry",7DnLQaXsqcYkgm0nyDrB3r
Rush,Rush,2Hkut4rAAyrQxRdof7FVJq
Leon Russell,"Russell, Leon",6r1Xmz7YUD4z0VRUoGm8XN
Santana,Santana,6GI52t8N5F02MxU0g5U69P
Erik Satie,"Satie, Erik",459INk8vcC0ebEef82WjIK
Merl Saunders,"Saunders, Merl",0mOvsKSG9z0W7C5InpxjMw
Irmin Schmidt,"Schmidt, Irmin",4kYClJRpGza4CLezfVwLEf
Shocking Blue,Shocking Blue,5WimOFbBnCU5wI6t5PPpEk
Horace Silver,"Silver, Horace",5ZATfKurLqflrBhv2FLht5
Simon & Garfunkel,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE
Paul Simon,"Simon, Paul",2CvCyf1gEVhI0mX6aFXmVI
Nina Simone,"Simone, Nina",7G1GBhoKtEPnP86X2PvEYO
